instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vsaddu.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325","2,975",5,"2,325","2,325","2,975",5
"vsaddu.vi v8,v16,13","0,475","0,975",2,4,"0,475",1,"1,975",4,"0,5",1,2,"3,975"
"vsaddu.vi v8,v16,13,v0.t","0,55",1,2,4,"0,525","1,025",2,"3,975","0,525","0,975","1,975",4
"vsadd.vv v8,v16,v24","0,5",1,2,4,"0,475","0,975",2,4,"0,475",1,2,4
"vsadd.vv v8,v16,v24,v0.t","0,475","0,975",2,"3,975","0,55",1,2,4,"0,525","1,025",2,4
"vsadd.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vsadd.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325",3,5,"2,35","2,35","3,025","4,975"
"vsadd.vi v8,v16,13","0,475",1,2,4,"0,475","0,975",2,4,"0,475",1,2,4
"vsadd.vi v8,v16,13,v0.t","0,475","0,975",2,"3,975","0,55",1,2,4,"0,525","1,025",2,4
"vssubu.vv v8,v16,v24","0,525","1,025","2,025",4,"0,5",1,2,4,"0,475","0,975",2,"4,025"
"vssubu.vv v8,v16,v24,v0.t","0,5",1,2,4,"0,475","0,975",2,"4,025","0,525","1,025","2,025",4
"vssubu.vx v8,v16,t0","2,375","2,375","3,025","4,975","2,35","2,35",3,5,"2,35","2,35",3,"5,025"
"vssubu.vx v8,v16,t0,v0.t","2,35","2,35",3,5,"2,325","2,325",3,5,"2,325","2,325",3,5
"vssub.vv v8,v16,v24","0,525","1,025","2,025",4,"0,475",1,2,4,"0,475","0,975",2,"4,025"
"vssub.vv v8,v16,v24,v0.t","0,475","0,975",2,4,"0,55",1,2,"4,025","0,525","1,025","2,025",4
"vssub.vx v8,v16,t0","2,325","2,325",3,"4,975","2,325","2,325",3,5,"2,35","2,35",3,"5,025"
"vssub.vx v8,v16,t0,v0.t","2,325","2,325","2,975",5,"2,35","2,35",3,5,"2,325","2,325",3,5
"vaadd.vv v8,v16,v24","0,55","1,025","2,025",4,"0,5",1,2,4,"0,5","0,975",2,4
"vaadd.vv v8,v16,v24,v0.t","0,475","0,975",2,4,"0,525",1,2,"4,025","0,5","1,025","2,025",4
"vaadd.vx v8,v16,t0","2,325","2,325",3,"4,975","2,325","2,325",3,5,"2,35","2,35",3,5
"vaadd.vx v8,v16,t0,v0.t","2,325","2,325","2,975",5,"2,35","2,35",3,5,"2,325","2,325",3,5
"vaadd.vi v8,v16,13","0,55","1,025","2,025",4,"0,5",1,2,4,"0,5","0,975",2,4
"vaadd.vi v8,v16,13,v0.t","0,475","0,975",2,4,"0,525",1,2,"4,025","0,5","1,025","2,025",4
"vsll.vv v8,v16,v24",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vsll.vv v8,v16,v24,v0.t",1,2,4,"8,025","1,025","2,025",4,8,"0,975","1,975",4,8
"vsll.vx v8,v16,t0","2,325",3,5,9,"2,375","3,025","5,025",9,"2,325","2,975","4,975","9,025"
"vsll.vx v8,v16,t0,v0.t","2,35",3,5,9,"2,325",3,5,"9,025","2,375","3,025","5,025","8,975"
"vsll.vi v8,v16,13",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vsll.vi v8,v16,13,v0.t",1,2,4,"8,025","1,025","2,025",4,8,"0,975","1,975",4,8
"vasub.vv v8,v16,v24","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vasub.vv v8,v16,v24,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vasub.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vasub.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vsmul.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsmul.vv v8,v16,v24,v0.t","1,025","2,025",4,8,1,2,4,8,"0,975","1,975","3,975",8
"vsmul.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vsmul.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vsrl.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsrl.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vsrl.vx v8,v16,t0","2,375","3,025","5,025",9,"2,35",3,5,9,"2,35","3,025","5,025",9
"vsrl.vx v8,v16,t0,v0.t","2,325",3,5,9,"2,325",3,5,9,"2,325","2,975","4,975",9
"vsrl.vi v8,v16,13","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsrl.vi v8,v16,13,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vsra.vv v8,v16,v24",1,2,"3,975",8,"1,025","2,025","4,025",8,1,2,4,"8,025"
"vsra.vv v8,v16,v24,v0.t",1,2,4,8,"0,975","1,975",4,"8,025","1,025","2,025",4,8
"vsra.vx v8,v16,t0","2,35",3,5,9,"2,325",3,5,9,"2,3","2,975","4,975",9
"vsra.vx v8,v16,t0,v0.t","2,325",3,5,"9,025","2,325","2,975","4,975",9,"2,35","3,025","5,025",9
"vsra.vi v8,v16,13",1,2,"3,975",8,"1,025","2,025","4,025",8,1,2,4,"8,025"
"vsra.vi v8,v16,13,v0.t",1,2,4,8,"0,975","1,975",4,"8,025","1,025","2,025",4,8
"vssrl.vv v8,v16,v24","1,025","2,025","4,025",8,1,2,4,8,"0,975","1,975",4,8
"vssrl.vv v8,v16,v24,v0.t","0,975","1,975",4,"7,975",1,2,4,8,"1,025","2,025","4,025",8
"vssrl.vx v8,v16,t0","2,325",3,5,"8,975","2,325",3,5,9,"2,35",3,5,9
"vssrl.vx v8,v16,t0,v0.t","2,325","2,975","4,975",9,"2,35",3,5,"9,025","2,325",3,5,9
"vssrl.vi v8,v16,13","1,025","2,025","4,025",8,1,2,4,8,"0,975","1,975",4,8
